0 0.025268
1 0.025242
2 0.025192
3 0.025117
4 0.025016
5 0.024892
6 0.024743
7 0.024570
8 0.024374
9 0.024156
10 0.023916
11 0.023654
12 0.023372
13 0.023070
14 0.022749
15 0.022410
16 0.022055
17 0.021683
18 0.021296
19 0.020895
20 0.020482
21 0.020056
22 0.019620
23 0.019173
24 0.018719
25 0.018257
26 0.017788
27 0.017314
28 0.016836
29 0.016355
30 0.015872
31 0.015387
32 0.014902
33 0.014419
34 0.013937
35 0.013457
36 0.012982
37 0.012510
38 0.012044
39 0.011583
40 0.011129
41 0.010682
42 0.010242
43 0.009811
44 0.009389
45 0.008976
46 0.008572
47 0.008179
48 0.007795
49 0.007423
50 0.007061
51 0.006710
52 0.006370
53 0.006041
54 0.005723
55 0.005417
56 0.005122
57 0.004838
58 0.004565
59 0.004304
60 0.004053
61 0.003813
62 0.003584
63 0.003365
64 0.003157
65 0.002958
66 0.002769
67 0.002590
68 0.002419
69 0.002258
70 0.002105
71 0.001961
72 0.001825
73 0.001696
74 0.001575
75 0.001462
76 0.001355
77 0.001254
78 0.001160
79 0.001072
80 0.000990
81 0.000913
82 0.000841
83 0.000774
84 0.000711
85 0.000653
86 0.000600
87 0.000550
88 0.000503
89 0.000460
90 0.000421
91 0.000384
92 0.000350
93 0.000319
94 0.000291
95 0.000264
96 0.000240
97 0.000218
98 0.000198
99 0.000179
