-1.999998799999999965e+00,8.270000000000000284e+01,8.100000000000000000e+01,6.839999999999999858e+00
-1.999995200000000084e+00,7.579999999999999716e+01,7.470000000000000284e+01,7.420000000000000284e+01
-1.999984399999999996e+00,4.139999999999999858e+01,4.110000000000000142e+01,4.150000000000000000e+01
-1.999975000000000058e+00,2.119999999999999929e+01,2.110000000000000142e+01,2.089999999999999858e+01
-1.999966399999999922e+00,1.519999999999999929e+01,1.530000000000000071e+01,1.539999999999999858e+01
-1.999940000000000051e+00,4.099999999999999645e+00,4.099999999999999645e+00,3.799999999999999822e+00
-1.999919599999999908e+00,2.599999999999999645e+00,2.500000000000000000e+00,2.700000000000000178e+00
-1.999900199999999906e+00,1.600000000000000089e+00,1.700000000000000178e+00,1.600000000000000089e+00
-1.999878999999999962e+00,1.100000000000000089e+00,1.200000000000000178e+00,8.999999999999999112e-01
-1.999851000000000045e+00,6.000000000000000888e-01,7.999999999999998224e-01,8.999999999999999112e-01
-1.999819999999999931e+00,3.999999999999999112e-01,5.000000000000000000e-01,3.999999999999999112e-01
-1.999799000000000104e+00,2.000000000000001776e-01,2.000000000000001776e-01,2.000000000000001776e-01
