Concentration 	 Intensity 	 Mean V 	 STD V 

0	40.284000	40.284000	1.484367
0.6	29.520000	29.520000	1.099818
1.2	26.916000	26.916000	0.494918
1.8	4.848000	4.848000	3.203888
2.4	4.584000	4.584000	1.497646
3	0.648000	0.648000	1.234543
3.6	0.000000	0.000000	0.000000
4.2	0.000000	0.000000	0.000000
4.8	0.000000	0.000000	0.000000
5.4	0.000000	0.000000	0.000000
6	0.060000	0.060000	0.420000
