Concentration 	 Intensity 	 Mean V 	 STD V 

0	111.000000	111.000000	0.000000
1	153.000000	153.000000	0.000000
2	157.836000	157.836000	1.461884
3	154.236000	154.236000	1.476585
4	146.388000	146.388000	1.476975
5	135.000000	135.000000	0.000000
6	47.760000	47.760000	0.813880
7	15.036000	15.036000	0.326656
8	12.000000	12.000000	0.000000
9	6.000000	6.000000	0.000000
10	4.704000	4.704000	1.486063
