Concentration 	 Intensity 	 Mean V 	 STD V 

0	160.164000	160.164000	1.461884
1	145.788000	145.788000	1.740993
2	132.468000	132.468000	1.088566
3	134.940000	134.940000	0.420000
4	144.000000	144.000000	0.000000
5	139.548000	139.548000	10.285120
6	104.040000	104.040000	1.424921
7	65.172000	65.172000	1.341050
8	22.140000	22.140000	1.456159
9	5.892000	5.892000	0.558870
10	6.000000	6.000000	0.000000
