Concentration 	 Intensity 	 Mean V 	 STD V 

0	57.060000	57.060000	0.420000
0.6	38.952000	38.952000	0.376425
1.2	35.688000	35.688000	1.026964
1.8	22.584000	22.584000	1.497646
2.4	2.988000	2.988000	0.189357
3.0	2.232000	2.232000	1.309265
3.6	0.000000	0.000000	0.000000
4.2	0.432000	0.432000	1.053269
4.8	0.792000	0.792000	1.322398
5.4	2.292000	2.292000	1.907547
6.0	0.252000	0.252000	0.832163
