Concentration 	 Intensity 	 Mean V 	 STD V 

0	62.976000	62.976000	0.267253
1	61.188000	61.188000	1.467193
2	60.432000	60.432000	1.053269
3	62.784000	62.784000	0.775464
4	54.000000	54.000000	0.000000
5	51.000000	51.000000	0.000000
6	48.000000	48.000000	0.000000
7	3.000000	3.000000	0.000000
8	3.000000	3.000000	0.000000
9	0.000000	0.000000	0.000000
10	3.000000	3.000000	0.000000
