Concentration 	 Intensity 	 Mean V 	 STD V 

0	39.000000	39.000000	0.000000
0.6	3.036000	3.036000	0.326656
1.2	2.448000	2.448000	1.162453
1.8	3.432000	3.432000	2.715396
2.4	0.000000	0.000000	0.000000
3	2.208000	2.208000	1.452149
3.6	1.068000	1.068000	1.624616
4.2	0.000000	0.000000	0.000000
4.8	0.156000	0.156000	0.666081
5.4	0.000000	0.000000	0.000000
6	0.468000	0.468000	1.088566
