Concentration 	 Intensity 	 Mean V 	 STD V 

0	60.000000	60.000000	0.000000
0.60	45.000000	45.000000	0.000000
1.20	38.724000	38.724000	1.183142
1.80	31.200000	31.200000	1.469694
2.40	4.080000	4.080000	1.440000
3.00	3.000000	3.000000	0.000000
3.60	2.256000	2.256000	1.295555
4.20	2.364000	2.364000	1.226175
4.80	0.000000	0.000000	0.000000
5.40	0.000000	0.000000	0.000000
6.00	0.000000	0.000000	0.000000
